"Parasites","Diagnostic_Method","Pos_Total","Prevalence_Pct","CI_95"
"Toxocara spp.","Fecal Flotation","47 / 87",54,"43.6 - 64.1"
"Ancylostoma spp.","Fecal Flotation","12 / 87",13.8,"8.1 - 22.6"
"Trichuris spp.","Fecal Flotation","0 / 87",0,"0 - 4.2"
"Coccidia","Fecal Flotation","10 / 87",11.5,"6.4 - 19.9"
"Giardia spp.","Coproantigen ELISA","5 / 43",11.6,"5.1 - 24.5"
"Cryptosporidium spp.","Coproantigen ELISA","1 / 43",2.3,"0.4 - 12.1"
"Toxoplasma gondii","Serology (MAT)","4 / 45",8.9,"3.5 - 20.7"
